Setup title,N-18-Id-Vg
Application test name,Id-Vg
Test date,3/23/2017
Test time,11:49:26
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs,IdrainPerWg,IsubsPerWg,gm,gmPerWg
0.53,1.45246E-08,2.07E-09,0,0.01,0,1.45246E-09,2.07E-10,6.17650000000001E-08,6.17650000000001E-09
0.54,1.51098E-08,1.6E-09,0,0.01,0,1.51098E-09,1.6E-10,6.19299999999999E-08,6.193E-09
0.55,1.57632E-08,3.8E-10,0,0.01,0,1.57632E-09,3.8E-11,6.47049999999998E-08,6.47049999999998E-09
0.56,1.64039E-08,1.41E-09,0,0.01,0,1.64039E-09,1.41E-10,6.6805E-08,6.6805E-09
0.57,1.70993E-08,2.4E-10,0,0.01,0,1.70993E-09,2.4E-11,6.8915E-08,6.89149999999999E-09
0.58,1.77822E-08,3.5E-10,0,0.01,0,1.77822E-09,3.5E-11,6.54799999999998E-08,6.54799999999997E-09
0.59,1.84089E-08,1E-10,0,0.01,0,1.84089E-09,1E-11,6.38900000000003E-08,6.38900000000003E-09
0.6,1.906E-08,4.4E-10,0,0.01,0,1.906E-09,4.4E-11,6.58100000000003E-08,6.58100000000005E-09
0.61,1.97251E-08,1.5E-09,0,0.01,0,1.97251E-09,1.5E-10,6.55700000000001E-08,6.55700000000002E-09
0.62,2.03714E-08,1.34E-09,0,0.01,0,2.03714E-09,1.34E-10,6.3445E-08,6.3445E-09
0.63,2.0994E-08,2E-10,0,0.01,0,2.0994E-09,2E-11,6.49999999999999E-08,6.49999999999998E-09
0.64,2.16714E-08,3.32E-09,0,0.01,0,2.16714E-09,3.32E-10,6.67199999999999E-08,6.67199999999999E-09
0.65,2.23284E-08,1.42E-09,0,0.01,0,2.23284E-09,1.42E-10,6.52049999999999E-08,6.52049999999998E-09
0.66,2.29755E-08,1.98E-09,0,0.01,0,2.29755E-09,1.98E-10,6.57649999999999E-08,6.57649999999997E-09
0.67,2.36437E-08,3.3E-10,0,0.01,0,2.36437E-09,3.3E-11,6.61850000000001E-08,6.61850000000002E-09
0.68,2.42992E-08,1.21E-09,0,0.01,0,2.42992E-09,1.21E-10,6.29E-08,6.29E-09
0.69,2.49017E-08,5E-10,0,0.01,0,2.49017E-09,5E-11,6.25949999999999E-08,6.25949999999996E-09
0.7,2.55511E-08,-3.5E-10,0,0.01,0,2.55511E-09,-3.5E-11,6.6085E-08,6.60849999999999E-09
0.71,2.62234E-08,2.3E-10,0,0.01,0,2.62234E-09,2.3E-11,6.2375E-08,6.23750000000002E-09
0.72,2.67986E-08,-1E-11,0,0.01,0,2.67986E-09,-1E-12,5.39850000000003E-08,5.39850000000002E-09
0.73,2.73031E-08,2.3E-10,0,0.01,0,2.73031E-09,2.3E-11,6.56900000000001E-08,6.56900000000001E-09
0.74,2.81124E-08,1.62E-09,0,0.01,0,2.81124E-09,1.62E-10,7.33149999999998E-08,7.33149999999997E-09
0.75,2.87694E-08,2.8E-10,0,0.01,0,2.87694E-09,2.8E-11,6.31800000000001E-08,6.31800000000001E-09
0.76,2.9376E-08,2.87E-09,0,0.01,0,2.9376E-09,2.87E-10,6.37799999999999E-08,6.37800000000001E-09
0.77,3.0045E-08,1.7E-09,0,0.01,0,3.0045E-09,1.7E-10,6.77549999999999E-08,6.7755E-09
0.78,3.07311E-08,4.4E-10,0,0.01,0,3.07311E-09,4.4E-11,6.79199999999999E-08,6.79199999999998E-09
0.79,3.14034E-08,2.38E-09,0,0.01,0,3.14034E-09,2.38E-10,6.33949999999998E-08,6.33949999999996E-09
0.8,3.1999E-08,1.3E-09,0,0.01,0,3.1999E-09,1.3E-10,6.16950000000002E-08,6.16950000000003E-09
