Setup title,N-18-Id-Vg
Application test name,Id-Vg
Test date,3/8/2017
Test time,11:42:07
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs,IdrainPerWg,IsubsPerWg,gm,gmPerWg
0,1.0959E-10,-3.1E-11,0,0.05,0,1.0959E-11,-3.1E-12,2.533E-09,2.533E-10
0.01,1.3492E-10,-1.21E-10,0,0.05,0,1.3492E-11,-1.21E-11,3.387E-09,3.387E-10
0.02,1.7733E-10,1.9E-11,0,0.05,0,1.7733E-11,1.9E-12,4.854E-09,4.854E-10
0.03,2.32E-10,-7.2E-11,0,0.05,0,2.32E-11,-7.2E-12,6.6375E-09,6.6375E-10
0.04,3.1008E-10,1.544E-09,0,0.05,0,3.1008E-11,1.544E-10,9.437E-09,9.437E-10
0.05,4.2074E-10,8.8E-11,0,0.05,0,4.2074E-11,8.8E-12,1.23635E-08,1.23635E-09
0.06,5.5735E-10,1.35E-09,0,0.05,0,5.5735E-11,1.35E-10,1.7015E-08,1.7015E-09
0.07,7.6104E-10,2.35E-10,0,0.05,0,7.6104E-11,2.35E-11,2.32905E-08,2.32905E-09
0.08,1.02316E-09,1.444E-09,0,0.05,0,1.02316E-10,1.444E-10,3.2572E-08,3.2572E-09
0.09,1.41248E-09,1.18E-10,0,0.05,0,1.41248E-10,1.18E-11,4.32175E-08,4.32175E-09
0.1,1.88751E-09,1.541E-09,0,0.05,0,1.88751E-10,1.541E-10,5.82095E-08,5.82095E-09
0.11,2.57667E-09,1.3E-11,0,0.05,0,2.57667E-10,1.3E-12,8.37495E-08,8.37495E-09
0.12,3.5625E-09,-9.7E-11,0,0.05,0,3.5625E-10,-9.7E-12,1.10256E-07,1.10256E-08
0.13,4.78179E-09,9E-12,0,0.05,0,4.78179E-10,9E-13,1.52729E-07,1.52729E-08
0.14,6.61708E-09,-6.8E-11,0,0.05,0,6.61708E-10,-6.8E-12,2.114755E-07,2.114755E-08
0.15,9.0113E-09,1.56E-10,0,0.05,0,9.0113E-10,1.56E-11,2.86141E-07,2.86141E-08
0.16,1.23399E-08,-8.56E-10,0,0.05,0,1.23399E-09,-8.56E-11,3.9178E-07,3.9178E-08
0.17,1.68469E-08,2.4E-11,0,0.05,0,1.68469E-09,2.4E-12,5.34789999999999E-07,5.34789999999999E-08
0.18,2.30357E-08,-2.21E-10,0,0.05,0,2.30357E-09,-2.21E-11,7.2468E-07,7.2468E-08
0.19,3.13405E-08,-3.18E-10,0,0.05,0,3.13405E-09,-3.18E-11,9.98915000000001E-07,9.98915E-08
0.2,4.3014E-08,1.021E-09,0,0.05,0,4.3014E-09,1.021E-10,1.345695E-06,1.345695E-07
0.21,5.82544E-08,-4.5E-11,0,0.05,0,5.82544E-09,-4.5E-12,1.840425E-06,1.840425E-07
