Setup title,N-18-Id-Vg
Application test name,Id-Vg
Test date,3/20/2017
Test time,11:33:03
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs,IdrainPerWg,IsubsPerWg,gm,gmPerWg
0,5.2644E-10,2.8E-11,0,1.8,0,5.2644E-11,2.8E-12,-2.3133E-08,-2.3133E-09
0.01,2.9511E-10,1.57E-10,0,1.8,0,2.9511E-11,1.57E-11,-1.4415E-08,-1.4415E-09
0.02,2.3814E-10,4.114E-09,0,1.8,0,2.3814E-11,4.114E-10,-5.2405E-09,-5.2405E-10
0.03,1.903E-10,9.6E-11,0,1.8,0,1.903E-11,9.6E-12,-3.002E-09,-3.002E-10
0.04,1.781E-10,3.979E-09,0,1.8,0,1.781E-11,3.979E-10,-1.027E-09,-1.027E-10
0.05,1.6976E-10,1.54E-10,0,1.8,0,1.6976E-11,1.54E-11,-3.18000000000001E-10,-3.18000000000001E-11
0.06,1.7174E-10,4.056E-09,0,1.8,0,1.7174E-11,4.056E-10,7.05E-10,7.05000000000001E-11
0.07,1.8386E-10,1.32E-10,0,1.8,0,1.8386E-11,1.32E-11,1.302E-09,1.302E-10
0.08,1.9778E-10,4.144E-09,0,1.8,0,1.9778E-11,4.144E-10,2.431E-09,2.431E-10
0.09,2.3248E-10,6.1E-11,0,1.8,0,2.3248E-11,6.1E-12,3.4925E-09,3.4925E-10
0.1,2.6763E-10,-5E-12,0,1.8,0,2.6763E-11,-5E-13,4.6835E-09,4.6835E-10
0.11,3.2615E-10,1.22E-10,0,1.8,0,3.2615E-11,1.22E-11,6.6085E-09,6.6085E-10
0.12,3.998E-10,6.92E-10,0,1.8,0,3.998E-11,6.92E-11,9.666E-09,9.66599999999999E-10
0.13,5.1947E-10,3.5E-11,0,1.8,0,5.1947E-11,3.5E-12,1.22175E-08,1.22175E-09
0.14,6.4415E-10,-5E-12,0,1.8,0,6.4415E-11,-5E-13,1.63775E-08,1.63775E-09
0.15,8.4702E-10,1.38E-10,0,1.8,0,8.4702E-11,1.38E-11,2.28405E-08,2.28405E-09
0.16,1.10096E-09,7.39E-10,0,1.8,0,1.10096E-10,7.39E-11,3.3143E-08,3.3143E-09
0.17,1.50988E-09,-4.4E-11,0,1.8,0,1.50988E-10,-4.4E-12,4.154E-08,4.154E-09
0.18,1.93176E-09,7.39E-10,0,1.8,0,1.93176E-10,7.39E-11,5.85865E-08,5.85865E-09
0.19,2.68161E-09,2.2E-11,0,1.8,0,2.68161E-10,2.2E-12,7.58045E-08,7.58045E-09
0.2,3.44785E-09,4E-12,0,1.8,0,3.44785E-10,4E-13,9.60059999999999E-08,9.60059999999999E-09
0.21,4.60173E-09,-2.5E-11,0,1.8,0,4.60173E-10,-2.5E-12,1.443675E-07,1.443675E-08
0.22,6.3352E-09,-3.7E-11,0,1.8,0,6.3352E-10,-3.7E-12,1.850475E-07,1.850475E-08
0.23,8.30268E-09,-4.7E-11,0,1.8,0,8.30268E-10,-4.7E-12,2.4514E-07,2.4514E-08
0.24,1.1238E-08,4.8E-11,0,1.8,0,1.1238E-09,4.8E-12,3.34691E-07,3.34691E-08
0.25,1.49965E-08,4.098E-09,0,1.8,0,1.49965E-09,4.098E-10,4.363E-07,4.363E-08
0.26,1.9964E-08,8.8E-11,0,1.8,0,1.9964E-09,8.8E-12,5.75004999999999E-07,5.75004999999999E-08
0.27,2.64966E-08,4.099E-09,0,1.8,0,2.64966E-09,4.099E-10,7.48024999999999E-07,7.48024999999999E-08
0.28,3.49245E-08,-1E-12,0,1.8,0,3.49245E-09,-1E-13,9.68904999999999E-07,9.68904999999999E-08
0.29,4.58747E-08,4.075E-09,0,1.8,0,4.58747E-09,4.075E-10,1.266465E-06,1.266465E-07
0.3,6.02538E-08,5E-12,0,1.8,0,6.02538E-09,5E-13,1.630085E-06,1.630085E-07
0.31,7.84764E-08,4.117E-09,0,1.8,0,7.84764E-09,4.117E-10,2.05386E-06,2.05386E-07
0.32,1.01331E-07,-5.6E-11,0,1.8,0,1.01331E-08,-5.6E-12,2.56383E-06,2.56383E-07
0.33,1.29753E-07,-5.12E-10,0,1.8,0,1.29753E-08,-5.12E-11,3.1816E-06,3.1816E-07
0.34,1.64963E-07,3.863E-09,0,1.8,0,1.64963E-08,3.863E-10,3.92725E-06,3.92725E-07
0.35,2.08298E-07,-7.19E-10,0,1.8,0,2.08298E-08,-7.19E-11,4.7243E-06,4.7243E-07
0.36,2.59449E-07,3.837E-09,0,1.8,0,2.59449E-08,3.837E-10,5.66810000000001E-06,5.66810000000001E-07
0.37,3.2166E-07,-7.85E-10,0,1.8,0,3.2166E-08,-7.85E-11,6.77485000000001E-06,6.77485000000001E-07
0.38,3.94946E-07,3.965E-09,0,1.8,0,3.94946E-08,3.965E-10,7.97239999999999E-06,7.97239999999999E-07
0.39,4.81108E-07,-9.36E-10,0,1.8,0,4.81108E-08,-9.36E-11,9.28525E-06,9.28525E-07
0.4,5.80651E-07,1.576E-09,0,1.8,0,5.80651E-08,1.576E-10,1.073255E-05,1.073255E-06
0.41,6.95759E-07,-7.04E-10,0,1.8,0,6.95759E-08,-7.04E-11,1.229495E-05,1.229495E-06
0.42,8.2655E-07,-8.85E-10,0,1.8,0,8.2655E-08,-8.85E-11,1.40867E-05,1.40867E-06
0.43,9.77493E-07,3.303E-09,0,1.8,0,9.77493E-08,3.303E-10,1.61505E-05,1.61505E-06
0.44,1.14956E-06,-1.375E-09,0,1.8,0,1.14956E-07,-1.375E-10,1.818485E-05,1.818485E-06
0.45,1.34119E-06,2.832E-09,0,1.8,0,1.34119E-07,2.832E-10,2.03785E-05,2.03785E-06
0.46,1.55713E-06,-1.606E-09,0,1.8,0,1.55713E-07,-1.606E-10,2.28125E-05,2.28125E-06
0.47,1.79744E-06,2.517E-09,0,1.8,0,1.79744E-07,2.517E-10,2.5397E-05,2.5397E-06
0.48,2.06507E-06,-2.095E-09,0,1.8,0,2.06507E-07,-2.095E-10,2.8089E-05,2.8089E-06
0.49,2.35922E-06,2.242E-09,0,1.8,0,2.35922E-07,2.242E-10,3.10810000000001E-05,3.1081E-06
0.5,2.68669E-06,-2.417E-09,0,1.8,0,2.68669E-07,-2.417E-10,3.41375000000001E-05,3.41375000000001E-06
0.51,3.04197E-06,2.038E-09,0,1.8,0,3.04197E-07,2.038E-10,3.72535E-05,3.72535E-06
0.52,3.43176E-06,-4.799E-09,0,1.8,0,3.43176E-07,-4.799E-10,4.0534E-05,4.0534E-06
0.53,3.85265E-06,-2.574E-09,0,1.8,0,3.85265E-07,-2.574E-10,4.37435E-05,4.37435E-06
0.54,4.30663E-06,-2.949E-09,0,1.8,0,4.30663E-07,-2.949E-10,4.7273E-05,4.7273E-06
0.55,4.79811E-06,-3.27E-09,0,1.8,0,4.79811E-07,-3.27E-10,5.09274999999999E-05,5.09275E-06
0.56,5.32518E-06,-3.846E-09,0,1.8,0,5.32518E-07,-3.846E-10,5.44514999999999E-05,5.44514999999999E-06
0.57,5.88714E-06,1.22E-09,0,1.8,0,5.88714E-07,1.22E-10,5.7987E-05,5.79869999999999E-06
0.58,6.48492E-06,-3.741E-09,0,1.8,0,6.48492E-07,-3.741E-10,6.13115E-05,6.13114999999999E-06
0.59,7.11337E-06,-3.846E-09,0,1.8,0,7.11337E-07,-3.846E-10,6.48255000000003E-05,6.48255000000003E-06
0.6,7.78143E-06,-1.379E-09,0,1.8,0,7.78143E-07,-1.379E-10,6.81760000000003E-05,6.81760000000003E-06
0.61,8.47689E-06,-4.674E-09,0,1.8,0,8.47689E-07,-4.674E-10,7.1593E-05,7.1593E-06
0.62,9.21329E-06,-4.892E-09,0,1.8,0,9.21329E-07,-4.892E-10,7.50669999999999E-05,7.5067E-06
0.63,9.97823E-06,-5.497E-09,0,1.8,0,9.97823E-07,-5.497E-10,7.82554999999999E-05,7.82554999999999E-06
0.64,1.07784E-05,-5.474E-09,0,1.8,0,1.07784E-06,-5.474E-10,8.15084999999999E-05,8.15084999999998E-06
0.65,1.16084E-05,-6.157E-09,0,1.8,0,1.16084E-06,-6.157E-10,8.4465E-05,8.44649999999999E-06
0.66,1.24677E-05,-2.109E-09,0,1.8,0,1.24677E-06,-2.109E-10,8.755E-05,8.75499999999999E-06
0.67,1.33594E-05,-6.76E-09,0,1.8,0,1.33594E-06,-6.76E-10,9.06299999999999E-05,9.06299999999999E-06
0.68,1.42803E-05,-2.457E-09,0,1.8,0,1.42803E-06,-2.457E-10,9.38149999999999E-05,9.38149999999999E-06
0.69,1.52357E-05,-7.41E-09,0,1.8,0,1.52357E-06,-7.41E-10,9.64549999999999E-05,9.6455E-06
0.7,1.62094E-05,-2.256E-09,0,1.8,0,1.62094E-06,-2.256E-10,9.8135E-05,9.8135E-06
0.71,1.71984E-05,-7.079E-09,0,1.8,0,1.71984E-06,-7.079E-10,0.000101735,1.01735E-05
0.72,1.82441E-05,-7.178E-09,0,1.8,0,1.82441E-06,-7.178E-10,0.00010495,1.0495E-05
