Setup title,"N-18 Id-Vg (fast)"
Classic test name,"I/V Sweep"
Test date,3/28/2017
Test time,14:25:36
Device ID,19
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs
0,1.6074E-09,-2.0572E-07,0,1.8,0
0.01,1.4049E-09,-1.2402E-07,0,1.8,0
0.02,1.3836E-09,-7.976E-08,0,1.8,0
0.03,1.3307E-09,-3.8764E-07,0,1.8,0
0.04,1.3094E-09,-3.721E-07,0,1.8,0
0.05,1.362E-09,-6.8E-08,0,1.8,0
0.06,1.211E-09,-1.3322E-07,0,1.8,0
0.07,1.2528E-09,-3.8276E-07,0,1.8,0
0.08,-8.437E-10,-4.1022E-07,0,1.8,0
0.09,5.951E-10,3.414E-08,0,1.8,0
0.1,1.4054E-09,-6.97E-08,0,1.8,0
0.11,-7.724E-10,2.94E-08,0,1.8,0
0.12,1.2455E-09,4.2254E-07,0,1.8,0
0.13,1.2905E-09,-9.264E-08,0,1.8,0
0.14,1.3885E-09,-7.182E-08,0,1.8,0
0.15,-7.581E-10,2.034E-08,0,1.8,0
0.16,1.211E-09,3.3698E-07,0,1.8,0
0.17,-8.416E-10,-4.0842E-07,0,1.8,0
0.18,5.337E-10,3.514E-08,0,1.8,0
0.19,1.5003E-09,-6.528E-08,0,1.8,0
0.2,1.2219E-09,-1.8396E-07,0,1.8,0
0.21,1.2253E-09,-4.0574E-07,0,1.8,0
0.22,1.248E-09,-4.1286E-07,0,1.8,0
0.23,1.2766E-09,-4.1326E-07,0,1.8,0
0.24,1.3298E-09,-4.0458E-07,0,1.8,0
0.25,1.3576E-09,-4.0434E-07,0,1.8,0
0.26,1.6825E-09,-7.132E-08,0,1.8,0
0.27,1.5668E-09,-2.0304E-07,0,1.8,0
0.28,1.7343E-09,-1.4302E-07,0,1.8,0
0.29,1.6634E-09,-2.8242E-07,0,1.8,0
0.3,1.9137E-09,-2.5216E-07,0,1.8,0
0.31,1.9844E-09,-2.2096E-07,0,1.8,0
0.32,4.984E-10,2.862E-08,0,1.8,0
0.33,2.9335E-09,4.6472E-07,0,1.8,0
0.34,3.3159E-09,-1.535E-07,0,1.8,0
0.35,2.493E-09,-4.152E-08,0,1.8,0
0.36,3.4986E-09,2.0698E-07,0,1.8,0
0.37,8.9896E-09,1.2008E-07,0,1.8,0
0.38,7.824E-09,-3.4886E-07,0,1.8,0
0.39,1.11046E-08,1.63E-08,0,1.8,0
0.4,1.19656E-08,-3.9514E-07,0,1.8,0
0.41,1.8246E-08,2.8568E-07,0,1.8,0
0.42,2.21392E-08,-1.0878E-07,0,1.8,0
0.43,2.89398E-08,2.502E-08,0,1.8,0
0.44,4.031E-08,4.2212E-07,0,1.8,0
0.45,5.05394E-08,-2.9058E-07,0,1.8,0
0.46,6.81054E-08,-1.008E-08,0,1.8,0
0.47,8.86548E-08,-3.106E-07,0,1.8,0
0.48,1.1562E-07,-8.706E-08,0,1.8,0
0.49,1.5502E-07,3.2064E-07,0,1.8,0
0.5,2.0074E-07,1.59E-08,0,1.8,0
0.51,2.6458E-07,6.804E-08,0,1.8,0
0.52,3.409E-07,-3.0672E-07,0,1.8,0
0.53,4.5292E-07,2.806E-08,0,1.8,0
0.54,5.5994E-07,1.38E-09,0,1.8,0
0.55,7.549E-07,3.242E-08,0,1.8,0
0.56,9.2964E-07,2.62E-09,0,1.8,0
0.57,1.2247E-06,-2.9852E-07,0,1.8,0
0.58,1.5569E-06,-2.726E-08,0,1.8,0
0.59,1.9811E-06,-3.7788E-07,0,1.8,0
