Setup title,"N-18 Id-Vg (fast)"
Classic test name,"I/V Sweep"
Test date,3/28/2017
Test time,13:29:11
Device ID,8
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs
0,1.1116E-09,-1.65E-08,0,0.01,0
0.01,-1.026E-09,-4.0202E-07,0,0.01,0
0.02,-9.854E-10,2.858E-08,0,0.01,0
0.03,1.1563E-09,3.5646E-07,0,0.01,0
0.04,-9.536E-10,-4.7336E-07,0,0.01,0
0.05,1.2088E-09,4.206E-07,0,0.01,0
0.06,-9.24E-10,4.84E-09,0,0.01,0
0.07,1.2621E-09,3.1088E-07,0,0.01,0
0.08,-5.299E-10,-4.2758E-07,0,0.01,0
0.09,1.4328E-09,1.536E-08,0,0.01,0
0.1,1.5529E-09,-4.5284E-07,0,0.01,0
0.11,1.6754E-09,-5.498E-08,0,0.01,0
0.12,1.9588E-09,-1.908E-07,0,0.01,0
0.13,2.0555E-09,-1.3972E-07,0,0.01,0
0.14,6.798E-10,2.82E-08,0,0.01,0
0.15,3.2478E-09,4.6822E-07,0,0.01,0
0.16,2.7652E-09,-8.876E-08,0,0.01,0
0.17,3.7858E-09,1.708E-08,0,0.01,0
0.18,6.2832E-09,-1.996E-08,0,0.01,0
0.19,6.8514E-09,-3.1292E-07,0,0.01,0
0.2,1.13932E-08,4.1844E-07,0,0.01,0
0.21,1.5905E-08,-1.6904E-07,0,0.01,0
0.22,2.00828E-08,4.9002E-07,0,0.01,0
0.23,2.72232E-08,2.2448E-07,0,0.01,0
0.24,3.97398E-08,3.045E-07,0,0.01,0
0.25,5.32006E-08,-6.134E-08,0,0.01,0
0.26,7.3568E-08,1.56E-08,0,0.01,0
0.27,1.020056E-07,4.8548E-07,0,0.01,0
0.28,1.3752E-07,2.868E-08,0,0.01,0
0.29,1.837E-07,-1.944E-08,0,0.01,0
0.3,2.5318E-07,1.66E-08,0,0.01,0
0.31,3.292E-07,-2.2E-08,0,0.01,0
0.32,4.521E-07,3.148E-08,0,0.01,0
0.33,5.8672E-07,4.644E-07,0,0.01,0
0.34,7.6278E-07,-4.5032E-07,0,0.01,0
0.35,9.8876E-07,4.477E-07,0,0.01,0
0.36,1.259E-06,3.284E-08,0,0.01,0
0.37,1.5834E-06,2.456E-08,0,0.01,0
0.38,1.959E-06,-3.482E-08,0,0.01,0
0.39,2.4727E-06,3.248E-08,0,0.01,0
0.4,2.9684E-06,-3.336E-08,0,0.01,0
0.41,3.6351E-06,2.32E-08,0,0.01,0
0.42,4.3386E-06,-1.694E-08,0,0.01,0
0.43,5.1247E-06,1.648E-08,0,0.01,0
0.44,6.0159E-06,-1.1448E-07,0,0.01,0
0.45,6.8987E-06,3.3276E-07,0,0.01,0
0.46,8.0792E-06,1.202E-07,0,0.01,0
0.47,9.1644E-06,-1.9018E-07,0,0.01,0
0.48,1.03302E-05,3.7884E-07,0,0.01,0
0.49,1.1678E-05,-3.2024E-07,0,0.01,0
0.5,1.2956E-05,2.55E-08,0,0.01,0
0.51,1.4408E-05,4.8924E-07,0,0.01,0
0.52,1.5874E-05,-2.142E-08,0,0.01,0
0.53,1.7384E-05,-4.6166E-07,0,0.01,0
0.54,1.9042E-05,1.64E-08,0,0.01,0
0.55,2.0588E-05,3.7934E-07,0,0.01,0
0.56,2.2308E-05,-4.52E-09,0,0.01,0
0.57,2.3938E-05,-3.26E-07,0,0.01,0
0.58,2.5756E-05,8.4E-09,0,0.01,0
0.59,2.747E-05,3.2784E-07,0,0.01,0
0.6,2.9284E-05,-5.76E-09,0,0.01,0
0.61,3.1134E-05,-3.1204E-07,0,0.01,0
0.62,3.2968E-05,3.86E-09,0,0.01,0
0.63,3.4836E-05,2.7552E-07,0,0.01,0
0.64,3.6736E-05,-4.7488E-07,0,0.01,0
0.65,3.8534E-05,2.542E-08,0,0.01,0
0.66,4.0522E-05,4.63E-07,0,0.01,0
0.67,4.2396E-05,-1.412E-08,0,0.01,0
0.68,4.4186E-05,-3.9964E-07,0,0.01,0
0.69,4.619E-05,-4.2418E-07,0,0.01,0
0.7,4.8148E-05,7.242E-08,0,0.01,0
0.71,5.0078E-05,-4.3548E-07,0,0.01,0
0.72,5.1988E-05,6.74E-09,0,0.01,0
0.73,5.3818E-05,3.1454E-07,0,0.01,0
0.74,5.5868E-05,-4.6E-09,0,0.01,0
0.75,5.78E-05,-3.047E-07,0,0.01,0
0.76,5.9612E-05,-3.9874E-07,0,0.01,0
0.77,6.1792E-05,2.226E-08,0,0.01,0
0.78,6.3516E-05,-2.772E-08,0,0.01,0
0.79,6.548E-05,2.58E-08,0,0.01,0
0.8,6.7348E-05,-1.866E-08,0,0.01,0
0.81,6.9474E-05,1.25E-08,0,0.01,0
0.82,7.114E-05,-1.276E-08,0,0.01,0
0.83,7.2846E-05,-2.508E-08,0,0.01,0
0.84,7.5198E-05,-4.6164E-07,0,0.01,0
0.85,7.6624E-05,2.454E-08,0,0.01,0
0.86,7.8688E-05,4.4854E-07,0,0.01,0
0.87,8.0216E-05,-1.416E-08,0,0.01,0
0.88,8.2522E-05,-3.9406E-07,0,0.01,0
0.89,8.3762E-05,1.004E-08,0,0.01,0
0.9,8.6108E-05,3.2388E-07,0,0.01,0
0.91,8.7356E-05,1.4436E-07,0,0.01,0
0.92,8.9828E-05,-2.4528E-07,0,0.01,0
0.93,9.1508E-05,4.912E-07,0,0.01,0
0.94,9.243E-05,-2.282E-08,0,0.01,0
0.95,9.5408E-05,-4.6578E-07,0,0.01,0
0.96,9.6018E-05,4.0156E-07,0,0.01,0
0.97,9.8624E-05,-2.8E-08,0,0.01,0
0.98,0.00010079,2.496E-08,0,0.01,0
0.99,0.00010272,2.644E-08,0,0.01,0
1,0.00010426,-3.414E-08,0,0.01,0
1.01,0.00010612,3.468E-08,0,0.01,0
1.02,0.00010764,-3.462E-08,0,0.01,0
1.03,0.00010954,3.092E-08,0,0.01,0
1.04,0.00011114,-6.256E-08,0,0.01,0
1.05,0.00011266,3.3904E-07,0,0.01,0
1.06,0.00011472,-5.56E-09,0,0.01,0
1.07,0.00011614,-2.1526E-07,0,0.01,0
1.08,0.00011782,4.706E-07,0,0.01,0
1.09,0.00011962,-4.32E-09,0,0.01,0
1.1,0.00012096,-2.6532E-07,0,0.01,0
