Setup title,"N-18 Id-Vg (fast)"
Classic test name,"I/V Sweep"
Test date,3/21/2017
Test time,15:28:48
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs,V4
0,1.7655E-09,-4.658E-07,0,1.8,0,
0.018,-4.909E-10,4.072E-08,0,1.8,0,
0.036,1.462E-09,4.8578E-07,0,1.8,0,
0.054,1.6089E-09,-4.3174E-07,0,1.8,0,
0.072,-4.154E-10,3.22E-08,0,1.8,0,
0.09,1.5003E-09,4.5324E-07,0,1.8,0,
0.108,1.6834E-09,-4.8036E-07,0,1.8,0,
0.126,2.0143E-09,-3.506E-07,0,1.8,0,
0.144,3.101E-10,3.996E-08,0,1.8,0,
0.162,2.8392E-09,4.791E-07,0,1.8,0,
0.18,1.5581E-09,-4.0738E-07,0,1.8,0,
0.198,3.7834E-09,7.942E-08,0,1.8,0,
0.216,8.6552E-09,5.421E-07,0,1.8,0,
0.234,1.2457E-08,4.92E-08,0,1.8,0,
0.252,1.82918E-08,2.616E-08,0,1.8,0,
0.27,3.15894E-08,5.3122E-07,0,1.8,0,
0.288,4.794E-08,-3.661E-07,0,1.8,0,
0.306,7.52938E-08,8.548E-08,0,1.8,0,
0.324,1.1638E-07,-4.9E-07,0,1.8,0,
0.342,1.7404E-07,4.644E-08,0,1.8,0,
0.36,2.5532E-07,-9.846E-08,0,1.8,0,
0.378,3.7044E-07,3.814E-07,0,1.8,0,
0.396,5.2444E-07,-4.1328E-07,0,1.8,0,
0.414,7.3306E-07,-3.851E-07,0,1.8,0,
0.432,9.9728E-07,2.504E-08,0,1.8,0,
0.45,1.3333E-06,2.9142E-07,0,1.8,0,
0.468,1.7548E-06,6.148E-08,0,1.8,0,
0.486,2.2546E-06,-2.546E-08,0,1.8,0,
0.504,2.8545E-06,-3.9658E-07,0,1.8,0,
0.522,3.568E-06,5.2902E-07,0,1.8,0,
0.54,4.3768E-06,-1.0538E-07,0,1.8,0,
0.558,5.2981E-06,3.49E-07,0,1.8,0,
0.576,6.3297E-06,-4.7678E-07,0,1.8,0,
0.594,7.4779E-06,5.2466E-07,0,1.8,0,
0.612,8.7301E-06,-6.842E-08,0,1.8,0,
0.63,1.01005E-05,2.3814E-07,0,1.8,0,
0.648,1.1568E-05,-1.1812E-07,0,1.8,0,
0.666,1.3132E-05,2.1462E-07,0,1.8,0,
0.684,1.4778E-05,-4.977E-07,0,1.8,0,
0.702,1.6536E-05,2.058E-08,0,1.8,0,
0.72,1.837E-05,3.8064E-07,0,1.8,0,
0.738,2.0286E-05,2.7754E-07,0,1.8,0,
