Setup title,"N-18 Id-Vg (fast)"
Classic test name,"I/V Sweep"
Test date,3/21/2017
Test time,15:31:19
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs,V4
0.108,-9.746E-10,-4.2816E-07,0,0.05,-0.1,
0.126,1.0913E-09,4.3702E-07,0,0.05,-0.1,
0.144,-1.0248E-09,-4.5586E-07,0,0.05,-0.1,
0.162,1.1781E-09,4.3664E-07,0,0.05,-0.1,
0.18,-9.915E-10,-4.8532E-07,0,0.05,-0.1,
0.198,1.4058E-09,4.5172E-07,0,0.05,-0.1,
0.216,1.751E-09,-4.8178E-07,0,0.05,-0.1,
0.234,1.8849E-09,1.172E-08,0,0.05,-0.1,
0.252,5.477E-10,4.416E-08,0,0.05,-0.1,
0.27,3.5258E-09,4.148E-07,0,0.05,-0.1,
0.288,3.0298E-09,-4.572E-07,0,0.05,-0.1,
0.306,7.9252E-09,4.6232E-07,0,0.05,-0.1,
0.324,9.9455E-09,-4.6808E-07,0,0.05,-0.1,
0.342,1.7632E-08,-6.22E-09,0,0.05,-0.1,
0.36,2.95154E-08,9.98E-09,0,0.05,-0.1,
0.378,4.25404E-08,1.9276E-07,0,0.05,-0.1,
0.396,6.54364E-08,1.119E-07,0,0.05,-0.1,
0.414,9.72434E-08,-4.7772E-07,0,0.05,-0.1,
0.432,1.3882E-07,9.594E-08,0,0.05,-0.1,
0.45,1.9164E-07,-3.8606E-07,0,0.05,-0.1,
0.468,2.6582E-07,5.603E-07,0,0.05,-0.1,
0.486,3.534E-07,4.6408E-07,0,0.05,-0.1,
0.504,4.7032E-07,-4.82E-09,0,0.05,-0.1,
0.522,6.0508E-07,-2.9224E-07,0,0.05,-0.1,
0.54,7.6598E-07,5.4998E-07,0,0.05,-0.1,
0.558,9.518E-07,4.281E-07,0,0.05,-0.1,
0.576,1.1656E-06,4.714E-08,0,0.05,-0.1,
0.594,1.4033E-06,1.065E-07,0,0.05,-0.1,
0.612,1.6638E-06,-3.2706E-07,0,0.05,-0.1,
0.63,1.9414E-06,4.2714E-07,0,0.05,-0.1,
0.648,2.2406E-06,5.5058E-07,0,0.05,-0.1,
0.666,2.5513E-06,-7.692E-08,0,0.05,-0.1,
0.684,2.8853E-06,1.102E-07,0,0.05,-0.1,
0.702,3.2274E-06,-3.8994E-07,0,0.05,-0.1,
0.72,3.5762E-06,5.235E-07,0,0.05,-0.1,
0.738,3.9284E-06,5.591E-07,0,0.05,-0.1,
0.756,4.2895E-06,-7.238E-08,0,0.05,-0.1,
0.774,4.6719E-06,1.0652E-07,0,0.05,-0.1,
0.792,5.0407E-06,-3.265E-07,0,0.05,-0.1,
0.81,5.4258E-06,3.949E-07,0,0.05,-0.1,
0.828,5.8139E-06,-4.7154E-07,0,0.05,-0.1,
0.846,6.1938E-06,-1.721E-07,0,0.05,-0.1,
0.864,6.5899E-06,4.872E-08,0,0.05,-0.1,
0.882,6.9752E-06,-3.308E-08,0,0.05,-0.1,
0.9,7.3645E-06,-7.656E-08,0,0.05,-0.1,
0.918,7.747E-06,2.966E-08,0,0.05,-0.1,
0.936,8.1381E-06,3.6502E-07,0,0.05,-0.1,
0.954,8.5234E-06,-4.4658E-07,0,0.05,-0.1,
0.972,8.9079E-06,5.2126E-07,0,0.05,-0.1,
0.99,9.2889E-06,-1.638E-08,0,0.05,-0.1,
1.008,9.6668E-06,-3.5074E-07,0,0.05,-0.1,
1.026,1.00396E-05,4.6276E-07,0,0.05,-0.1,
1.044,1.04246E-05,-4.572E-07,0,0.05,-0.1,
1.062,1.0782E-05,5.2456E-07,0,0.05,-0.1,
1.08,1.1172E-05,-2.668E-08,0,0.05,-0.1,
1.098,1.1534E-05,-3.9548E-07,0,0.05,-0.1,
1.116,1.1886E-05,5.5586E-07,0,0.05,-0.1,
1.134,1.225E-05,-1.962E-08,0,0.05,-0.1,
1.152,1.261E-05,-3.8326E-07,0,0.05,-0.1,
1.17,1.2966E-05,5.2284E-07,0,0.05,-0.1,
1.188,1.3308E-05,5.838E-08,0,0.05,-0.1,
1.206,1.3654E-05,-1.995E-07,0,0.05,-0.1,
1.224,1.3984E-05,4.2918E-07,0,0.05,-0.1,
1.242,1.432E-05,5.533E-07,0,0.05,-0.1,
1.26,1.4648E-05,-1.433E-07,0,0.05,-0.1,
1.278,1.4978E-05,3.0722E-07,0,0.05,-0.1,
1.296,1.5302E-05,-4.1856E-07,0,0.05,-0.1,
1.314,1.5618E-05,-1.544E-08,0,0.05,-0.1,
1.332,1.5936E-05,1.725E-07,0,0.05,-0.1,
1.35,1.6238E-05,-4.0646E-07,0,0.05,-0.1,
1.368,1.6514E-05,5.4846E-07,0,0.05,-0.1,
1.386,1.685E-05,-2.842E-08,0,0.05,-0.1,
1.404,1.7152E-05,-3.7464E-07,0,0.05,-0.1,
1.422,1.7448E-05,4.932E-07,0,0.05,-0.1,
1.44,1.7726E-05,-1.434E-08,0,0.05,-0.1,
1.458,1.8008E-05,-3.4944E-07,0,0.05,-0.1,
1.476,1.8284E-05,3.9718E-07,0,0.05,-0.1,
1.494,1.8578E-05,7.314E-08,0,0.05,-0.1,
1.512,1.8828E-05,-2.774E-07,0,0.05,-0.1,
1.53,1.91E-05,4.002E-07,0,0.05,-0.1,
1.548,1.9348E-05,5.2396E-07,0,0.05,-0.1,
1.566,1.959E-05,-1.0586E-07,0,0.05,-0.1,
1.584,1.9866E-05,2.7096E-07,0,0.05,-0.1,
1.602,2.011E-05,-4.7082E-07,0,0.05,-0.1,
1.62,2.034E-05,-4.8512E-07,0,0.05,-0.1,
1.638,2.061E-05,4.3E-08,0,0.05,-0.1,
1.656,2.0846E-05,-3.434E-08,0,0.05,-0.1,
1.674,2.1084E-05,-2.1894E-07,0,0.05,-0.1,
1.692,2.1318E-05,3.584E-08,0,0.05,-0.1,
1.71,2.1536E-05,3.7702E-07,0,0.05,-0.1,
1.728,2.1764E-05,-4.4426E-07,0,0.05,-0.1,
1.746,2.1968E-05,1.22E-08,0,0.05,-0.1,
1.764,2.2184E-05,3.3408E-07,0,0.05,-0.1,
1.782,2.2418E-05,-4.8802E-07,0,0.05,-0.1,
1.8,2.2604E-05,-1.342E-08,0,0.05,-0.1,
0,1.1674E-09,-1.5522E-07,0,0.05,-0.2,
0.018,-1.1465E-09,-4.8118E-07,0,0.05,-0.2,
0.036,1.2043E-09,5.3346E-07,0,0.05,-0.2,
0.054,-1.2044E-09,-4.862E-07,0,0.05,-0.2,
0.072,1.2409E-09,5.6328E-07,0,0.05,-0.2,
0.09,-8.622E-10,9.34E-09,0,0.05,-0.2,
0.108,9.253E-10,1.8088E-07,0,0.05,-0.2,
0.126,1.2613E-09,-2.7766E-07,0,0.05,-0.2,
0.144,-1.2043E-09,-4.095E-07,0,0.05,-0.2,
0.162,-1.1673E-09,2.704E-08,0,0.05,-0.2,
0.18,-1.0285E-09,3.374E-08,0,0.05,-0.2,
0.198,1.3981E-09,5.421E-07,0,0.05,-0.2,
0.216,1.58E-09,-4.8572E-07,0,0.05,-0.2,
0.234,-2.998E-10,-6.02E-09,0,0.05,-0.2,
0.252,1.8803E-09,1.729E-07,0,0.05,-0.2,
0.27,2.7187E-09,-3.1816E-07,0,0.05,-0.2,
0.288,3.3534E-09,-1.2922E-07,0,0.05,-0.2,
0.306,3.3246E-09,-3.8878E-07,0,0.05,-0.2,
0.324,7.0274E-09,4.536E-08,0,0.05,-0.2,
0.342,1.42274E-08,-2.7522E-07,0,0.05,-0.2,
0.36,1.93106E-08,-4.1312E-07,0,0.05,-0.2,
0.378,3.23848E-08,3.2754E-07,0,0.05,-0.2,
0.396,4.96298E-08,-5.122E-08,0,0.05,-0.2,
0.414,7.34014E-08,-1.652E-08,0,0.05,-0.2,
0.432,1.0376E-07,-5.84E-09,0,0.05,-0.2,
0.45,1.4984E-07,9.04E-09,0,0.05,-0.2,
0.468,2.0696E-07,2.92E-08,0,0.05,-0.2,
0.486,2.8664E-07,-3.046E-08,0,0.05,-0.2,
0.504,3.7778E-07,-5.216E-08,0,0.05,-0.2,
0.522,4.9568E-07,8.88E-09,0,0.05,-0.2,
0.54,6.361E-07,2.984E-08,0,0.05,-0.2,
0.558,8.046E-07,-2.3728E-07,0,0.05,-0.2,
0.576,9.9666E-07,2.358E-08,0,0.05,-0.2,
0.594,1.2114E-06,9.216E-08,0,0.05,-0.2,
0.612,1.4592E-06,5.5934E-07,0,0.05,-0.2,
0.63,1.7174E-06,-1.746E-08,0,0.05,-0.2,
0.648,1.9979E-06,-3.0134E-07,0,0.05,-0.2,
0.666,2.2948E-06,3.977E-07,0,0.05,-0.2,
0.684,2.6147E-06,-4.9148E-07,0,0.05,-0.2,
0.702,2.9402E-06,-6.38E-09,0,0.05,-0.2,
0.72,3.2902E-06,1.1966E-07,0,0.05,-0.2,
0.738,3.6388E-06,-3.8802E-07,0,0.05,-0.2,
0.756,3.9978E-06,5.178E-07,0,0.05,-0.2,
0.774,4.3674E-06,-1.434E-08,0,0.05,-0.2,
0.792,4.7296E-06,-2.792E-07,0,0.05,-0.2,
0.81,5.115E-06,3.8814E-07,0,0.05,-0.2,
0.828,5.4926E-06,-4.6914E-07,0,0.05,-0.2,
0.846,5.8715E-06,-1.8104E-07,0,0.05,-0.2,
0.864,6.2737E-06,1.0086E-07,0,0.05,-0.2,
0.882,6.644E-06,-2.943E-07,0,0.05,-0.2,
0.9,7.0329E-06,3.8496E-07,0,0.05,-0.2,
0.918,7.4163E-06,-4.8178E-07,0,0.05,-0.2,
0.936,7.8187E-06,5.2722E-07,0,0.05,-0.2,
0.954,8.1999E-06,-5.338E-08,0,0.05,-0.2,
0.972,8.5874E-06,2.774E-08,0,0.05,-0.2,
0.99,8.975E-06,4.256E-08,0,0.05,-0.2,
1.008,9.3598E-06,3.9166E-07,0,0.05,-0.2,
1.026,9.7352E-06,-4.904E-07,0,0.05,-0.2,
1.044,1.0124E-05,5.1098E-07,0,0.05,-0.2,
1.062,1.0488E-05,-1.504E-08,0,0.05,-0.2,
1.08,1.0856E-05,-2.8274E-07,0,0.05,-0.2,
1.098,1.1222E-05,3.857E-07,0,0.05,-0.2,
1.116,1.159E-05,-4.885E-07,0,0.05,-0.2,
1.134,1.1944E-05,1.32E-08,0,0.05,-0.2,
1.152,1.2316E-05,1.7066E-07,0,0.05,-0.2,
1.17,1.2668E-05,-4.1366E-07,0,0.05,-0.2,
1.188,1.3004E-05,-4.8604E-07,0,0.05,-0.2,
1.206,1.3354E-05,2.752E-08,0,0.05,-0.2,
1.224,1.37E-05,3.898E-08,0,0.05,-0.2,
1.242,1.4054E-05,-2.926E-07,0,0.05,-0.2,
1.26,1.4374E-05,2.58E-08,0,0.05,-0.2,
1.278,1.4698E-05,3.8776E-07,0,0.05,-0.2,
