Setup title,"N-18 Id-Vg (fast)"
Classic test name,"I/V Sweep"
Test date,3/30/2017
Test time,14:10:13
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs
0,-1.122E-09,4.774E-08,0,0.01,0
0.01,1.1723E-09,3.6854E-07,0,0.01,0
0.02,-1.0817E-09,-4.1922E-07,0,0.01,0
0.03,1.3519E-09,5.1204E-07,0,0.01,0
0.04,3.959E-10,-9.536E-08,0,0.01,0
0.05,-1.0345E-09,4.076E-08,0,0.01,0
0.06,1.4669E-09,5.7042E-07,0,0.01,0
0.07,-8.605E-10,1.862E-08,0,0.01,0
0.08,1.499E-09,4.1628E-07,0,0.01,0
0.09,1.6397E-09,-4.4286E-07,0,0.01,0
0.1,1.7936E-09,-1.0536E-07,0,0.01,0
0.11,-4.029E-10,4.702E-08,0,0.01,0
0.12,2.2611E-09,4.9974E-07,0,0.01,0
0.13,2.1711E-09,-1.1066E-07,0,0.01,0
0.14,2.8371E-09,-2.5232E-07,0,0.01,0
0.15,1.1681E-09,5.536E-08,0,0.01,0
0.16,4.4022E-09,6.0272E-07,0,0.01,0
0.17,3.831E-09,-1.8948E-07,0,0.01,0
0.18,4.6776E-09,4.08E-08,0,0.01,0
0.19,6.6584E-09,-5.344E-08,0,0.01,0
0.2,9.6388E-09,7.688E-08,0,0.01,0
0.21,1.40866E-08,-3.078E-08,0,0.01,0
0.22,1.54446E-08,-5.7088E-07,0,0.01,0
0.23,2.31926E-08,4.064E-07,0,0.01,0
0.24,2.92572E-08,-1.2642E-07,0,0.01,0
0.25,3.55138E-08,5.442E-08,0,0.01,0
0.26,4.67278E-08,4.1446E-07,0,0.01,0
0.27,6.3002E-08,4.5166E-07,0,0.01,0
0.28,7.76182E-08,-3.2078E-07,0,0.01,0
0.29,9.64916E-08,5.798E-08,0,0.01,0
0.3,1.2202E-07,-2.4306E-07,0,0.01,0
0.31,1.6014E-07,5.9358E-07,0,0.01,0
0.32,1.9264E-07,5.3932E-07,0,0.01,0
0.33,2.5134E-07,-3.034E-08,0,0.01,0
0.34,3.0662E-07,3.992E-08,0,0.01,0
0.35,3.815E-07,4.5342E-07,0,0.01,0
0.36,4.6736E-07,-1.1726E-07,0,0.01,0
0.37,5.7932E-07,-2.75E-08,0,0.01,0
0.38,6.818E-07,3.95E-08,0,0.01,0
0.39,7.9976E-07,2.0896E-07,0,0.01,0
0.4,9.819E-07,4.2066E-07,0,0.01,0
0.41,1.2006E-06,-5.5928E-07,0,0.01,0
0.42,1.4352E-06,3.98E-08,0,0.01,0
0.43,1.6652E-06,4.4684E-07,0,0.01,0
0.44,2.0308E-06,-1.556E-08,0,0.01,0
0.45,2.3582E-06,-3.1782E-07,0,0.01,0
0.46,2.7142E-06,4.777E-07,0,0.01,0
0.47,3.208E-06,-1.71E-08,0,0.01,0
0.48,3.6618E-06,-3.8412E-07,0,0.01,0
0.49,4.1915E-06,5.6398E-07,0,0.01,0
0.5,4.8571E-06,-1.634E-08,0,0.01,0
0.51,5.4319E-06,-4.214E-07,0,0.01,0
0.52,6.1803E-06,5.9686E-07,0,0.01,0
0.53,7.0088E-06,5.5538E-07,0,0.01,0
0.54,7.786E-06,-1.3694E-07,0,0.01,0
0.55,8.6175E-06,4.4638E-07,0,0.01,0
0.56,9.6243E-06,5.342E-08,0,0.01,0
0.57,1.05234E-05,4.584E-07,0,0.01,0
0.58,1.1632E-05,-5.5326E-07,0,0.01,0
0.59,1.2672E-05,4.06E-08,0,0.01,0
0.6,1.3878E-05,5.0126E-07,0,0.01,0
0.61,1.5084E-05,-1.918E-08,0,0.01,0
0.62,1.6288E-05,-4.5556E-07,0,0.01,0
0.63,1.7602E-05,2.172E-08,0,0.01,0
0.64,1.89E-05,4.0818E-07,0,0.01,0
0.65,2.0334E-05,3.344E-08,0,0.01,0
0.66,2.1628E-05,-4.0042E-07,0,0.01,0
0.67,2.2958E-05,5.831E-07,0,0.01,0
0.68,2.4572E-05,-3.4712E-07,0,0.01,0
0.69,2.6032E-05,6E-08,0,0.01,0
0.7,2.746E-05,-3.834E-08,0,0.01,0
0.71,2.893E-05,-5.7972E-07,0,0.01,0
0.72,3.0406E-05,-2.4254E-07,0,0.01,0
0.73,3.1896E-05,3.0962E-07,0,0.01,0
0.74,3.3682E-05,-5.5748E-07,0,0.01,0
0.75,3.5058E-05,7.666E-08,0,0.01,0
0.76,3.6554E-05,3.862E-08,0,0.01,0
0.77,3.8034E-05,-3.058E-08,0,0.01,0
0.78,3.966E-05,3.708E-08,0,0.01,0
0.79,4.106E-05,-3.652E-08,0,0.01,0
0.8,4.2852E-05,5.148E-08,0,0.01,0
0.81,4.4074E-05,-5.444E-08,0,0.01,0
0.82,4.5824E-05,7.722E-08,0,0.01,0
0.83,4.7314E-05,-4.1388E-07,0,0.01,0
0.84,4.872E-05,-5.3848E-07,0,0.01,0
0.85,5.0364E-05,2.2024E-07,0,0.01,0
0.86,5.1842E-05,-5.2322E-07,0,0.01,0
0.87,5.3332E-05,2.562E-08,0,0.01,0
0.88,5.48E-05,4.187E-07,0,0.01,0
0.89,5.6262E-05,5.9882E-07,0,0.01,0
0.9,5.7792E-05,-1.5422E-07,0,0.01,0
0.91,5.9158E-05,5.1638E-07,0,0.01,0
0.92,6.0658E-05,-1.772E-08,0,0.01,0
0.93,6.2094E-05,-3.498E-07,0,0.01,0
0.94,6.3474E-05,-4.9582E-07,0,0.01,0
0.95,6.5026E-05,1.0202E-07,0,0.01,0
0.96,6.6376E-05,-4.2874E-07,0,0.01,0
0.97,6.753E-05,-4.2318E-07,0,0.01,0
0.98,6.9216E-05,1.5824E-07,0,0.01,0
0.99,7.0596E-05,-5.565E-07,0,0.01,0
1,7.179E-05,2.126E-08,0,0.01,0
1.01,7.3192E-05,3.395E-07,0,0.01,0
1.02,7.445E-05,6.043E-07,0,0.01,0
1.03,7.5974E-05,-1.9602E-07,0,0.01,0
1.04,7.7314E-05,4.961E-07,0,0.01,0
1.05,7.8322E-05,-2.488E-08,0,0.01,0
1.06,8.0042E-05,-4.5892E-07,0,0.01,0
1.07,8.094E-05,2.138E-08,0,0.01,0
1.08,8.241E-05,4.1926E-07,0,0.01,0
1.09,8.3342E-05,-1.332E-08,0,0.01,0
1.1,8.5042E-05,-3.6844E-07,0,0.01,0
1.11,8.556E-05,-5.7008E-07,0,0.01,0
1.12,8.748E-05,1.144E-07,0,0.01,0
1.13,8.8778E-05,-4.1918E-07,0,0.01,0
1.14,8.9126E-05,2.354E-08,0,0.01,0
1.15,9.1122E-05,4.169E-07,0,0.01,0
1.16,9.127E-05,-1.568E-08,0,0.01,0
1.17,9.341E-05,-4.1776E-07,0,0.01,0
1.18,9.3538E-05,2.386E-08,0,0.01,0
1.19,9.568E-05,4.2948E-07,0,0.01,0
1.2,9.576E-05,6.574E-08,0,0.01,0
1.21,9.802E-05,-3.7792E-07,0,0.01,0
1.22,9.8936E-05,-5.6178E-07,0,0.01,0
1.23,0.000100102,1.0612E-07,0,0.01,0
1.24,0.000101366,-4.5654E-07,0,0.01,0
1.25,0.00010252,5.2354E-07,0,0.01,0
1.26,0.00010358,-1.67E-08,0,0.01,0
1.27,0.00010442,-2.8892E-07,0,0.01,0
1.28,0.0001056,6.0164E-07,0,0.01,0
1.29,0.00010684,-1.476E-08,0,0.01,0
1.3,0.00010788,-3.5444E-07,0,0.01,0
1.31,0.00010864,6.073E-07,0,0.01,0
1.32,0.00010956,-3.322E-08,0,0.01,0
1.33,0.00011092,-4.6622E-07,0,0.01,0
1.34,0.00011156,2.15E-08,0,0.01,0
1.35,0.00011264,4.13E-07,0,0.01,0
1.36,0.00011356,5.8916E-07,0,0.01,0
1.37,0.00011486,-1.6616E-07,0,0.01,0
1.38,0.0001156,5.4588E-07,0,0.01,0
1.39,0.00011648,-1.958E-08,0,0.01,0
1.4,0.00011726,-4.2394E-07,0,0.01,0
1.41,0.00011822,2.324E-08,0,0.01,0
1.42,0.00011908,3.2686E-07,0,0.01,0
1.43,0.00012042,-5.7218E-07,0,0.01,0
