Setup title,N-18-Id-Vg
Application test name,Id-Vg
Test date,3/16/2017
Test time,11:50:05
Device ID,
Vgate,Idrain,Isubs,Vsource,Vdrain,Vsubs,IdrainPerWg,IsubsPerWg,gm,gmPerWg
0.52,2.66527E-07,1.494E-09,0,0.05,0,2.66527E-08,1.494E-10,6.76009999999999E-06,6.7601E-07
0.53,3.41758E-07,-6.39E-10,0,0.05,0,3.41758E-08,-6.39E-11,8.52829999999999E-06,8.52829999999999E-07
0.54,4.37093E-07,4.16E-10,0,0.05,0,4.37093E-08,4.16E-11,1.072265E-05,1.072265E-06
0.55,5.56211E-07,-4.3E-11,0,0.05,0,5.56211E-08,-4.3E-12,1.35287E-05,1.35287E-06
0.56,7.07667E-07,2.094E-09,0,0.05,0,7.07667E-08,2.094E-10,1.69843E-05,1.69843E-06
0.57,8.95897E-07,7.8E-11,0,0.05,0,8.95897E-08,7.8E-12,2.096895E-05,2.096895E-06
0.58,1.127046E-06,-9.49E-10,0,0.05,0,1.127046E-07,-9.49E-11,2.607715E-05,2.607715E-06
0.59,1.41744E-06,2.5E-11,0,0.05,0,1.41744E-07,2.5E-12,3.20537000000002E-05,3.20537000000002E-06
0.6,1.76812E-06,1.416E-09,0,0.05,0,1.76812E-07,1.416E-10,3.91330000000002E-05,3.91330000000002E-06
0.61,2.2001E-06,1.646E-09,0,0.05,0,2.2001E-07,1.646E-10,4.76465E-05,4.76465E-06
0.62,2.72105E-06,1.848E-09,0,0.05,0,2.72105E-07,1.848E-10,5.76309999999999E-05,5.7631E-06
0.63,3.35272E-06,1.86E-09,0,0.05,0,3.35272E-07,1.86E-10,6.92104999999999E-05,6.92104999999999E-06
0.64,4.10526E-06,1.92E-09,0,0.05,0,4.10526E-07,1.92E-10,8.23494999999999E-05,8.23494999999999E-06
0.65,4.99971E-06,3.3E-11,0,0.05,0,4.99971E-07,3.3E-12,9.74715E-05,9.74715E-06
0.66,6.05469E-06,1.824E-09,0,0.05,0,6.05469E-07,1.824E-10,0.0001141665,1.141665E-05
0.67,7.28304E-06,1.02E-10,0,0.05,0,7.28304E-07,1.02E-11,0.000132519,1.32519E-05
0.68,8.70507E-06,1.549E-09,0,0.05,0,8.70507E-07,1.549E-10,0.000152618,1.52618E-05
0.69,1.03354E-05,-3.4E-11,0,0.05,0,1.03354E-06,-3.4E-12,0.0001741515,1.741515E-05
0.7,1.21881E-05,1.689E-09,0,0.05,0,1.21881E-06,1.689E-10,0.000197795,1.97795E-05
0.71,1.42913E-05,-1.2E-10,0,0.05,0,1.42913E-06,-1.2E-11,0.00022129,2.2129E-05
0.72,1.66139E-05,2.053E-09,0,0.05,0,1.66139E-06,2.053E-10,0.000245620000000001,2.45620000000001E-05
0.73,1.92037E-05,-1.5E-11,0,0.05,0,1.92037E-06,-1.5E-12,0.000271975000000001,2.71975000000001E-05
0.74,2.20534E-05,1.729E-09,0,0.05,0,2.20534E-06,1.729E-10,0.00029682,2.9682E-05
0.75,2.51401E-05,1.849E-09,0,0.05,0,2.51401E-06,1.849E-10,0.00032142,3.2142E-05
0.76,2.84818E-05,1.889E-09,0,0.05,0,2.84818E-06,1.889E-10,0.000347605,3.47605E-05
0.77,3.20922E-05,-1.53E-10,0,0.05,0,3.20922E-06,-1.53E-11,0.000370759999999999,3.7076E-05
0.78,3.5897E-05,1.703E-09,0,0.05,0,3.5897E-06,1.703E-10,0.00039385,3.93849999999999E-05
0.79,3.99692E-05,-7.8E-11,0,0.05,0,3.99692E-06,-7.8E-12,0.000416515,4.16515E-05
0.8,4.42273E-05,1.522E-09,0,0.05,0,4.42273E-06,1.522E-10,0.000435314999999999,4.35315E-05
0.81,4.86755E-05,1.697E-09,0,0.05,0,4.86755E-06,1.697E-10,0.000457014999999999,4.57015E-05
0.82,5.33676E-05,1.78E-09,0,0.05,0,5.33676E-06,1.78E-10,0.00047407,4.74069999999999E-05
0.83,5.81569E-05,1.867E-09,0,0.05,0,5.81569E-06,1.867E-10,0.000491614999999999,4.91614999999999E-05
0.84,6.31999E-05,-2.7E-11,0,0.05,0,6.31999E-06,-2.7E-12,0.000507615,5.07615E-05
0.85,6.83092E-05,1.621E-09,0,0.05,0,6.83092E-06,1.621E-10,0.000516280000000003,5.16280000000003E-05
0.86,7.35255E-05,5.5E-11,0,0.05,0,7.35255E-06,5.5E-12,0.000530485000000003,5.30485000000003E-05
0.87,7.89189E-05,1.493E-09,0,0.05,0,7.89189E-06,1.493E-10,0.00054175,5.41749999999999E-05
0.88,8.43605E-05,1.622E-09,0,0.05,0,8.43605E-06,1.622E-10,0.000552189999999999,5.52189999999999E-05
0.89,8.99627E-05,1.82E-09,0,0.05,0,8.99627E-06,1.82E-10,0.000560529999999999,5.6053E-05
0.9,9.55711E-05,1.859E-09,0,0.05,0,9.55711E-06,1.859E-10,0.000568515,5.68514999999999E-05
0.91,0.000101333,-1.6E-11,0,0.05,0,1.01333E-05,-1.6E-12,0.000577645,5.77644999999999E-05
0.92,0.000107124,-3.42E-10,0,0.05,0,1.07124E-05,-3.42E-11,0.00057775,5.7775E-05
0.93,0.000112888,-4.59E-10,0,0.05,0,1.12888E-05,-4.59E-11,0.000579449999999999,5.79449999999999E-05
0.94,0.000118713,-1.842E-09,0,0.05,0,1.18713E-05,-1.842E-10,0.0005825,5.825E-05
0.95,0.000124538,-9.1E-11,0,0.05,0,1.24538E-05,-9.1E-12,0.000585299999999999,5.85299999999999E-05
0.96,0.000130419,9.91E-10,0,0.05,0,1.30419E-05,9.91E-11,0.000587299999999998,5.87299999999998E-05
0.97,0.000136284,2.091E-09,0,0.05,0,1.36284E-05,2.091E-10,0.00059025,5.9025E-05
0.98,0.000142224,1.08E-10,0,0.05,0,1.42224E-05,1.08E-11,0.000589599999999999,5.896E-05
0.99,0.000148076,-4.14E-10,0,0.05,0,1.48076E-05,-4.14E-11,0.000589750000000002,5.89750000000002E-05
1,0.000154019,-4.87E-10,0,0.05,0,1.54019E-05,-4.87E-11,0.000594550000000003,5.94550000000003E-05
1.01,0.000159967,-1.582E-09,0,0.05,0,1.59967E-05,-1.582E-10,0.000589499999999999,5.89499999999999E-05
1.02,0.000165809,1.4E-11,0,0.05,0,1.65809E-05,1.4E-12,0.00058645,5.8645E-05
1.03,0.000171696,1.017E-09,0,0.05,0,1.71696E-05,1.017E-10,0.00058665,5.8665E-05
1.04,0.000177542,1.802E-09,0,0.05,0,1.77542E-05,1.802E-10,0.000584899999999999,5.84899999999998E-05
1.05,0.000183394,5.8E-11,0,0.05,0,1.83394E-05,5.8E-12,0.000581049999999999,5.8105E-05
1.06,0.000189163,-4.17E-10,0,0.05,0,1.89163E-05,-4.17E-11,0.000580900000000001,5.80900000000001E-05
1.07,0.000195012,-2.17E-09,0,0.05,0,1.95012E-05,-2.17E-10,0.00057895,5.7895E-05
1.08,0.000200742,-2.9E-11,0,0.05,0,2.00742E-05,-2.9E-12,0.000574799999999999,5.74799999999999E-05
